Model                     T     L         Md        Rout      silicates  gs
outputs_000/output_0000  10472  6.66e+41  3.93e-03  1.23e+17  0.5        1.9244e+00
outputs_000/output_0001   6826  6.56e+41  2.92e-05  1.88e+17  1          8.5343e-03
outputs_000/output_0002   9873  5.58e+41  2.03e-02  8.89e+16  0.5        1.0541e-02
outputs_000/output_0003   4238  5.73e+41  8.24e-04  1.23e+17  0.5        2.1047e+00
outputs_000/output_0004   9135  8.51e+41  3.61e-05  9.87e+16  1          1.6352e+00
outputs_000/output_0005  13130  5.95e+41  1.29e-04  1.90e+17  1          5.6053e-02
outputs_000/output_0006   4840  3.42e+41  6.73e-02  1.49e+17  0          1.1075e-02
outputs_000/output_0007   9809  5.05e+40  1.94e-05  9.46e+16  1          1.6620e-02
outputs_000/output_0008  11710  9.30e+41  4.33e-03  9.90e+16  0.5        1.2731e+00
outputs_000/output_0009   6010  2.09e+41  1.68e-02  1.42e+17  1          3.2790e-02
outputs_000/output_0010   7153  7.62e+40  2.67e-02  1.25e+17  0          1.1890e+00
outputs_000/output_0011   8638  9.07e+41  6.05e-04  1.15e+17  1          2.8571e-01
outputs_000/output_0012   4750  2.66e+41  1.47e-02  1.70e+17  0          2.8995e+00
outputs_000/output_0013   8628  1.46e+41  6.80e-05  6.90e+16  1          5.8700e-01
outputs_000/output_0014   6344  1.37e+41  8.18e-04  1.68e+17  1          1.3310e+00
outputs_000/output_0015   8861  8.52e+41  1.06e-05  1.32e+17  1          3.7396e-01
outputs_000/output_0016   4228  7.39e+41  4.62e-04  1.11e+17  0.5        1.0360e-02
outputs_000/output_0017   4171  3.98e+41  1.36e-04  2.99e+16  0.5        2.8826e-01
outputs_000/output_0018  12449  7.01e+41  3.26e-02  1.25e+17  0.5        8.7522e-02
outputs_000/output_0019   4970  5.30e+41  7.88e-05  1.78e+17  0          1.0573e-02
outputs_000/output_0020  11161  7.20e+41  1.15e-02  7.27e+16  1          6.9832e-02
outputs_000/output_0021  13333  2.14e+41  6.04e-05  1.46e+17  0.5        8.0916e-03
outputs_000/output_0022  11835  9.56e+41  5.66e-02  1.87e+17  0          1.3708e-01
outputs_000/output_0023   6270  2.67e+41  8.09e-03  1.99e+17  0.5        4.4009e-01
outputs_000/output_0024   4952  3.44e+41  4.62e-05  1.55e+17  1          1.5343e-02
outputs_000/output_0025   8688  6.18e+41  1.54e-02  8.96e+16  0.5        1.3127e-01
outputs_000/output_0026  10953  4.32e+41  7.68e-02  1.65e+17  0          1.1209e-01
outputs_000/output_0027  12020  7.39e+41  5.63e-02  6.97e+16  1          3.0792e-01
outputs_000/output_0028   8809  1.78e+41  3.22e-02  1.31e+17  0          1.9688e-01
outputs_000/output_0029   5527  1.96e+41  6.16e-05  9.77e+16  0          6.6043e-03
outputs_000/output_0030  11361  9.19e+41  1.09e-04  9.62e+16  0          2.3086e-01
outputs_000/output_0031  13400  4.06e+41  1.11e-02  1.53e+16  0          4.2016e+00
outputs_000/output_0032  12804  5.97e+41  3.74e-04  1.95e+17  1          1.3470e-02
outputs_000/output_0033   4720  6.90e+41  2.91e-04  5.46e+16  0          4.9455e-02
outputs_000/output_0034  13992  9.22e+41  2.57e-03  1.99e+17  0.5        2.0653e-02
outputs_000/output_0035   8631  1.86e+41  8.91e-03  1.20e+17  0.5        6.1538e-02
outputs_000/output_0036   8121  2.41e+41  1.10e-05  7.80e+16  0          1.6947e-02
outputs_000/output_0037   8153  9.37e+41  1.92e-05  1.61e+17  0.5        5.0172e-02
outputs_000/output_0038   4606  9.49e+41  3.26e-05  5.58e+16  0          1.3369e-02
outputs_000/output_0039  12372  6.65e+41  2.18e-04  1.64e+17  1          2.5573e+00
outputs_000/output_0040   7175  1.53e+41  2.24e-04  1.99e+17  0          7.8578e-02
outputs_000/output_0041   5835  9.10e+41  9.42e-04  8.38e+16  0          1.7513e-01
outputs_000/output_0042   4874  2.30e+39  5.26e-02  1.10e+17  0          1.0835e+00
outputs_000/output_0043   9856  7.00e+40  1.48e-03  6.43e+16  1          2.3338e-02
outputs_000/output_0044   7554  5.12e+41  8.45e-02  1.53e+17  0.5        3.6070e+00
outputs_000/output_0045   6060  8.49e+41  1.01e-05  1.20e+17  0          5.9550e-03
outputs_000/output_0046  13906  3.38e+41  1.01e-03  1.19e+17  0.5        1.1513e-02
outputs_000/output_0047  13969  6.82e+41  6.79e-05  1.27e+17  0          7.2550e-02
outputs_000/output_0048  10314  5.27e+41  2.16e-02  3.91e+16  0.5        6.2082e-03
outputs_000/output_0049  11625  5.91e+41  1.41e-05  1.68e+17  1          2.8121e+00
outputs_000/output_0050   6345  6.41e+41  2.97e-05  9.50e+16  0          1.5598e-01
outputs_000/output_0051   8703  4.88e+41  1.65e-05  8.45e+16  0.5        6.5673e-03
outputs_000/output_0052  11758  9.89e+40  1.57e-02  9.14e+16  1          2.9761e+00
outputs_000/output_0053  10908  4.18e+41  6.86e-03  1.41e+17  0.5        9.5461e-01
outputs_000/output_0054   9062  5.47e+41  1.04e-03  8.45e+16  0.5        1.0866e-01
outputs_000/output_0055   5694  9.16e+41  8.55e-02  8.93e+16  1          5.0396e-01
outputs_000/output_0056   9642  5.70e+41  1.93e-05  7.56e+16  1          8.1088e-02
outputs_000/output_0057   9219  5.43e+41  8.07e-02  7.26e+16  0.5        5.6076e-03
outputs_000/output_0058   6054  8.83e+41  2.83e-04  6.79e+16  1          1.9119e-01
outputs_000/output_0059  10355  3.17e+41  1.33e-02  7.50e+16  1          5.8245e-03
outputs_000/output_0060  10118  5.55e+41  2.86e-04  1.98e+16  0          9.1709e-03
outputs_000/output_0061   9506  2.99e+41  2.73e-04  1.78e+16  1          3.2154e-02
outputs_000/output_0062  12909  9.60e+41  1.72e-05  1.65e+16  0          2.3392e+00
outputs_000/output_0063  12193  6.37e+41  1.48e-05  3.42e+16  0.5        1.0610e-02
outputs_000/output_0064   8352  7.13e+41  2.02e-05  1.98e+17  1          2.1880e+00
outputs_000/output_0065   9748  8.55e+41  1.89e-05  1.00e+17  0.5        7.5842e-01
outputs_000/output_0066  13429  8.81e+40  1.46e-02  1.38e+17  1          3.3109e-01
outputs_000/output_0067  11161  2.02e+41  1.00e-02  4.95e+16  1          7.8432e-03
outputs_000/output_0068   4846  2.31e+41  1.00e-05  1.86e+17  0.5        1.1530e-01
outputs_000/output_0069  11057  4.37e+41  4.79e-04  1.98e+17  0.5        1.5718e-01
outputs_000/output_0070  11433  6.32e+41  3.48e-02  1.10e+17  0.5        2.9559e-01
outputs_000/output_0071  12345  2.68e+41  1.41e-04  1.46e+17  0.5        4.2784e-02
outputs_000/output_0072  12889  3.89e+41  2.99e-02  1.54e+17  0.5        1.1158e-02
outputs_000/output_0073  12936  9.79e+41  7.58e-04  3.61e+16  0.5        9.0258e-03
outputs_000/output_0074  12815  2.17e+41  6.60e-05  2.57e+16  0          7.5923e-02
